geneID,at
AT3G10040.1,1
AT3G15210.1,1
AT5G23280.1,1
AT1G25560.1,2
AT1G42990.1,2
AT1G68840.2,2
AT1G68840.1,2
AT2G28550.1,2
AT2G28550.3,2
AT2G28550.2,2
AT2G46970.1,2
AT3G50330.1,2
AT4G16750.1,2
AT5G03740.1,2
AT5G10970.1,2
AT5G13910.1,2
AT5G60850.1,2
AT1G28370.1,3
AT1G36060.1,3
AT1G43160.1,3
AT1G52890.1,3
AT1G57560.1,3
AT1G64380.1,3
AT1G67100.1,3
AT1G74840.1,3
AT1G74840.2,3
AT2G23340.1,3
AT2G45160.1,3
AT3G03660.1,3
AT3G03660.2,3
AT3G06740.1,3
AT3G19580.2,3
AT3G19580.1,3
AT3G23240.1,3
AT3G25730.1,3
AT3G49930.1,3
AT3G58190.1,3
AT3G60390.1,3
AT3G61630.1,3
AT4G11140.1,3
AT4G17500.1,3
AT4G28110.1,3
AT4G31550.1,3
AT4G31550.2,3
AT4G37540.1,3
AT5G06710.1,3
AT5G08330.1,3
AT5G39610.1,3
AT5G41570.1,3
AT5G43170.1,3
AT5G44260.1,3
AT5G47220.1,3
AT5G47230.1,3
AT5G47640.1,3
AT5G53980.1,3
AT5G65080.2,3
AT5G67060.1,3
AT1G06180.1,4
AT1G09710.2,4
AT1G17310.1,4
AT1G44830.1,4
AT1G47760.1,4
AT1G49475.1,4
AT1G53230.1,4
AT1G71030.1,4
AT1G77450.1,4
AT1G79840.2,4
AT1G79840.1,4
AT2G25900.1,4
AT2G25900.2,4
AT2G36080.1,4
AT2G43140.2,4
AT2G43140.1,4
AT2G46990.1,4
AT2G47890.2,4
AT2G47890.1,4
AT3G01970.1,4
AT3G02550.1,4
AT3G11580.2,4
AT3G15030.2,4
AT3G15030.1,4
AT3G15030.3,4
AT3G16770.1,4
AT3G56400.1,4
AT3G58710.1,4
AT3G60530.1,4
AT4G00180.1,4
AT4G00180.2,4
AT4G00730.1,4
AT4G00730.2,4
AT4G05100.1,4
AT4G09460.1,4
AT4G14550.1,4
AT4G29930.3,4
AT4G29930.2,4
AT4G29930.4,4
AT4G29930.1,4
AT5G10120.1,4
AT5G12330.1,4
AT5G12330.2,4
AT5G12330.4,4
AT5G12330.3,4
AT5G17490.1,4
AT5G17810.2,4
AT5G17810.1,4
AT5G48890.1,4
AT5G51780.1,4
AT5G51790.1,4
AT5G53660.1,4
AT5G57520.1,4
AT5G64750.1,4
AT1G01380.1,5
AT1G08320.2,5
AT1G29160.1,5
AT1G49130.1,5
AT1G52830.1,5
AT1G56650.1,5
AT1G66140.1,5
AT1G72360.3,5
AT1G72360.1,5
AT1G72360.2,5
AT1G74500.1,5
AT2G22430.1,5
AT2G22770.1,5
AT2G25820.1,5
AT2G37740.1,5
AT2G40970.1,5
AT3G02940.1,5
AT3G03450.1,5
AT3G17600.1,5
AT3G27650.1,5
AT3G56970.1,5
AT3G60630.1,5
AT4G00150.1,5
AT4G01250.1,5
AT4G06746.1,5
AT4G14540.1,5
AT4G25470.1,5
AT4G27900.1,5
AT4G27900.2,5
AT4G29080.1,5
AT4G39780.1,5
AT5G12870.1,5
AT5G19790.1,5
AT5G22890.1,5
AT5G25890.1,5
AT5G58010.1,5
AT1G03970.1,6
AT1G07640.1,6
AT1G08010.2,6
AT1G09530.1,6
AT1G09530.2,6
AT1G10480.1,6
AT1G12890.1,6
AT1G15050.1,6
AT1G18570.1,6
AT1G19180.1,6
AT1G19180.2,6
AT1G21910.1,6
AT1G27650.1,6
AT1G27650.2,6
AT1G27740.1,6
AT1G28520.2,6
AT1G28520.1,6
AT1G30650.1,6
AT1G34670.1,6
AT1G43700.1,6
AT1G50420.1,6
AT1G59750.4,6
AT1G59750.2,6
AT1G59750.1,6
AT1G59750.3,6
AT1G65300.1,6
AT1G65330.1,6
AT1G65620.2,6
AT1G65620.3,6
AT1G65620.1,6
AT1G65620.4,6
AT1G67710.1,6
AT1G72450.1,6
AT1G73830.2,6
AT1G73830.1,6
AT1G74650.1,6
AT1G75080.1,6
AT1G75080.2,6
AT1G75490.1,6
AT1G77640.1,6
AT1G79700.1,6
AT1G79700.2,6
AT2G04890.1,6
AT2G14210.1,6
AT2G18350.1,6
AT2G23290.1,6
AT2G24260.1,6
AT2G28200.1,6
AT2G29060.1,6
AT2G31180.1,6
AT2G34140.1,6
AT2G36890.1,6
AT2G40220.1,6
AT2G44940.1,6
AT3G04060.1,6
AT3G11580.1,6
AT3G14230.1,6
AT3G14230.3,6
AT3G14230.2,6
AT3G15500.1,6
AT3G16350.1,6
AT3G16857.2,6
AT3G16857.1,6
AT3G18400.1,6
AT3G24120.2,6
AT3G24120.1,6
AT3G29035.1,6
AT3G56980.1,6
AT4G00050.1,6
AT4G01720.1,6
AT4G18890.1,6
AT4G28140.1,6
AT4G30980.1,6
AT4G36780.1,6
AT4G37260.1,6
AT4G37610.1,6
AT5G06250.1,6
AT5G06250.2,6
AT5G07100.1,6
AT5G07100.2,6
AT5G13080.1,6
AT5G13330.1,6
AT5G13790.1,6
AT5G14370.1,6
AT5G17430.1,6
AT5G21120.1,6
AT5G25190.1,6
AT5G44160.1,6
AT5G46690.1,6
AT5G46710.1,6
AT5G47390.1,6
AT5G53950.1,6
AT5G57620.1,6
AT5G59820.1,6
AT5G60890.1,6
AT5G61420.2,6
AT5G61420.1,6
AT5G61590.1,6
AT5G66700.1,6
